,label,tweet,gender,katakunci,pasal,status,kronologis,agama
0,anger,soal jalan jatibaru polisi tidak bisa gertak gubernur  emangnya polisi tidak ikut pmbhasan  jangan berpolitik  pengaturan wilayah hak gubernur  persoalan tn abang soal turun temurun pelik perlu kesabaran          ,Perempuan,"selingkuh, lobang kubur",Pasal 315 KUHP,vonis 2 tahun,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen Protestan
1,anger,sesama cewek lho  kayaknya   harusnya bisa lebih rasain lah yang harus sibuk jaga diri  rasain sakitnya haid  dan paniknya pulang malem sendirian  gimana orang asing  wajarlah banyak korban yang takut curhat  bukan dibela malah dihujat ,Perempuan,"pembohong, pendusta",pengancaman,Restorative Justice,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen
2,happy,kepingin gudeg mbarek bu hj  amad foto dari google  sengaja  biar teman teman juga membayangkannya  berbagi itu indah ,Perempuan,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
3,anger,jalan jatibaru bagian dari wilayah tn abang pengaturan wilayah tanggung jawab dan wewenang gub tng abng soal rumit sejak gub   trdahulu sekarang sedang dibenahi agar bermnfaat semua pihak mohon yang punya otak berpikirlah dengan wajar kecuali otaknya butek ya kamu    ,Perempuan,"bom, tidak tahu diri","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
4,happy,sharing pengalaman saja  kemarin jam   batalin tiket di stasiun pasar senen  lancar  antrian tidak terlalu rame  menitan dan beress semua  mungkin bisa dicoba twips  di jam jam segitu  cc   ,Laki-laki,"bom, tidak tahu diri",UU ITE 27 Ayat 3,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
5,anger,dari sekian banyak thread yang aku baca  thread ini paling aneh sih dalam penulisan  sumpah aneh banget  mau ngatain  lebay  saja segala bikin thread hadeh  aku juga tidak jago nulis  tapi tulisan aku tidak seberantakan thread mbaknya ,Laki-laki,penipu,Pencemaran,Penyelidikan,PENCEMARAN NAMA BAIK,Islam
6,happy,sharing sama temen tuh memang guna banget  disaat kamu ngerasa masalah kamu berat banget ternyata temen kita sendiri punya masalah lebih berat dari kita  malah masalah kita ngga ada apanya dibanding masalah dia ,Perempuan,"pembohong, pendusta",UU ITE 27 Ayat 3,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
7,sadness,orang lain kalau pake ponco itu buat jas hujan  nah dia pake buat kasur  ya tadi gara saking tidak punya apa  mamak bilang  kami tuh di awal pernikan tidak ada ngalamin bulan madu seperti sekarang  orang tidur nya saja pake ponco  gimane mau bulan madu ,Laki-laki,"babi, biongo",UU ITE 27 Ayat 3,Penyelidikan,PENCEMARAN NAMA BAIK,Kristen Protestan
8,anger,contoh mereka yang gemar menyudutkan  teriak paling toleran tapi gemar menuduh  gemar men judge seseorang berdasarkan versi mereka  cukup tau saja ,Perempuan,"pembohong, pendusta",Pasal 315 KUHP,Restorative Justice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
9,sadness,pulang udah  lebaran dilema sekali  seperti tidak bisa melakukan apa dirumah sebelum lebaran  buka puasa bareng cuman  hari sama keluarga begitu juga sahur ,Perempuan,"Cina, anus, toilet, jamban, tai","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",vonis 2 tahun,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
